aa_idx,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7
0.000000000000000000e+00,2.051782183936530668e+00,-3.149326051697194651e-02,-8.129676315681663712e-02,4.950284045138549360e-01,-2.888753526981985842e-01,2.307927182044617470e-02,-3.879724705474520835e-02,-5.648656172775848860e-01
1.000000000000000000e+00,-4.635306621741378530e-01,-6.483337461731479567e-02,-1.831297729398561891e-01,5.690619419888440778e-01,4.915238329628975333e-01,1.465997162169480283e+00,1.576492061253129129e-01,-4.999934977918026879e-01
2.000000000000000000e+00,-3.615366374164856178e-01,1.818938963736834169e-01,-1.332252249690630830e-01,-2.446696059279849234e-01,7.142951818497051963e-01,-1.163602050897375229e+00,-7.428459654874366436e-01,8.280362702124478558e-01
3.000000000000000000e+00,-3.203687873642541151e-02,-3.613060841167752280e-01,-8.971856689833196397e-02,9.456205298652141655e-01,-8.899941390994860202e-02,-6.923399619322756493e-01,-6.140606227263466499e-01,1.301025815609013758e+00
4.000000000000000000e+00,6.927153525444861015e-02,-3.312366039085886532e-02,-1.456584743828159001e-01,-5.067980328114495281e-01,-1.760589921046473494e+00,-7.285258908922414012e-01,-8.895620058536896080e-01,7.090168337391117293e-01
5.000000000000000000e+00,-7.313477963287736694e-01,-5.389716874696821869e-02,1.008408943710585648e+00,5.655627363088889803e-01,2.429050733062489142e-01,-6.039628808649785130e-01,4.367163195304918921e-01,-1.400553437255110723e+00
6.000000000000000000e+00,-8.594556930382654114e-01,1.438490014604907330e-01,9.151958553998117418e-01,4.430312838955511867e-01,3.670251698934381968e-01,-6.736687605101413512e-01,9.779395285536153226e-01,-1.088353752157825427e-01
7.000000000000000000e+00,2.232598453774949365e-01,-1.304286084662764911e-01,4.406701567484788140e-01,1.041723463730002353e+00,-1.493841311685585760e+00,3.027891910267005784e-02,-1.106698760552202315e-01,-9.175360616128013236e-01
8.000000000000000000e+00,-2.736735671901024403e-01,1.547807451323648109e-01,-7.730355587967729925e-01,-2.923823183598084699e-02,8.300305920805283177e-01,9.534418930704645634e-01,-6.914124347104433355e-01,7.397267960247183582e-01
9.000000000000000000e+00,-3.576627902818629856e-02,2.871578774580843540e-01,-2.156357085555840949e-02,-1.622010215689781099e+00,-2.936773484883392071e-01,-1.703145698700693766e-01,9.659503233072864736e-01,3.413809829986722000e-01
1.000000000000000000e+01,-1.261609782356009138e-02,2.513301358312436395e-01,-1.817051514432817955e-02,-5.687568029536580472e-01,-3.920713083606452293e-02,-1.250433013296026741e-01,5.747558080641458345e-01,1.539895411208237253e+00
1.100000000000000000e+01,-4.406770495245945773e-01,-2.724471575453054073e-01,-6.024020493684325572e-01,2.425401760139517804e-01,4.805178041292593183e-01,6.604965184353958074e-01,-7.300201518261351108e-01,-1.626271832401784634e+00
1.200000000000000000e+01,-7.947655213043943734e-01,9.106031273311447627e-02,-1.188274408225650447e+00,3.141955191130327285e-01,2.639844839071558980e-01,-1.235185897417233170e+00,2.158913065834673350e-01,-5.909661828302440467e-01
1.300000000000000000e+01,-3.076222390298031031e-02,-3.347272137099417399e-01,1.178822253729236089e-02,1.120289726618087123e+00,1.856972588268919130e-02,5.710780225311933300e-01,6.128345105693323580e-01,1.536913713133273962e+00
1.400000000000000000e+01,-4.961821677122812968e-01,-2.930773844564408814e-01,-1.226770844172995478e-01,1.035076063352578180e+00,4.973217019146536910e-01,-2.706418476671368922e-01,-1.502794714309321433e+00,6.276391947810666672e-02
1.500000000000000000e+01,1.796668098033306349e-02,1.186999625733050345e-01,-5.076520868620126165e-02,-1.386366870475675528e+00,-4.823513682365520618e-03,-6.296776509438534175e-01,-1.429108236202342619e+00,-8.690661147349651450e-02
1.600000000000000000e+01,-3.288342287970693473e-02,1.195205395142002053e-01,-2.130904712070603724e-01,-1.211380864140415126e+00,3.259251254383393470e-01,1.157514790351138689e+00,-4.146966686722802775e-01,1.305561523678351044e-01
1.700000000000000000e+01,-2.428970552515238579e-01,8.235960978431390300e-01,3.625932669275283744e-03,1.484298289937817095e-01,3.743603781382364715e-01,2.035755428611418782e+00,9.836408809596834946e-01,6.490429087545361853e-01
1.800000000000000000e+01,-2.064289132850646302e-01,-8.114912757472761973e-01,-2.746814064679167777e-01,1.390202697844604041e+00,1.953134555942752371e-01,1.142166316749295030e+00,-1.961379148633209547e-03,7.070782284456207378e-01
1.900000000000000000e+01,3.413399619574319227e-02,1.576161222387230665e-01,1.993085902737157522e-01,-1.148688656898622762e+00,-2.772109593376200221e-01,1.442819094579315432e-02,5.989190970352642474e-01,-1.433741406988417344e+00
