cell,direction,w,codesign_rate,codesign_anchor,d_codesign_pp,designable_rate,designable_anchor,d_designable_pp,diversity_tm,diversity_anchor,d_diversity_tm,aa_kl_vs_w1,aa_max_freq,aa_shannon_delta,aa_homopoly_delta,aa_lowcplx_delta,prop_target,prop_value,prop_anchor,prop_delta,prop_delta_sigma,v_codesign,v_designable,v_diversity,v_aa_kl,v_max_aa,v_seq_quality,v_property,overall
tango_min_w64,tango_min,64,0.2413793103448276,0.4,-15.862068965517242,,0.7272727272727273,,0.4068655812587227,,,,,,,,tango_total,475.42075,893.2659166666667,-417.8451666666667,1.1658948923309034,WARN,MISSING,MISSING,MISSING,MISSING,PASS,DELIVERED,DEGRADED
tango_min_w128,tango_min,128,0.0625,0.4,-33.75,,0.7272727272727273,,0.4066598013492274,,,,,,,,tango_total,255.8719979166667,893.2659166666667,-637.39391875,1.7784920672930373,FAIL,MISSING,MISSING,MISSING,MISSING,PASS,DELIVERED,BROKEN
