target,mode,lambda,length,seed,guided,unguided,delta,abs_delta,scRMSD_min,designable
contact_order,prop,4,400,42,0.0615,0.0722,-0.0106,0.0106,,
contact_order,prop,4,300,43,0.1774,0.1946,-0.0172,0.0172,,
contact_order,prop,4,400,43,0.0479,0.07,-0.0221,0.0221,,
contact_order,prop,4,300,44,0.0882,0.1086,-0.0205,0.0205,,
contact_order,prop,4,400,44,0.051,0.0743,-0.0233,0.0233,,
contact_order,prop,4,300,45,0.0964,0.1278,-0.0314,0.0314,,
contact_order,prop,4,400,45,0.0928,0.1231,-0.0303,0.0303,,
contact_order,prop,4,300,46,0.155,0.1697,-0.0146,0.0146,,
contact_order,prop,4,400,46,0.0837,0.1008,-0.0171,0.0171,,
contact_order,prop,4,300,47,0.1705,0.1909,-0.0205,0.0205,,
contact_order,prop,4,400,47,0.0643,0.0697,-0.0054,0.0054,,
contact_order,prop,8,300,42,0.168,0.2094,-0.0414,0.0414,,
contact_order,prop,8,400,42,0.0572,0.0722,-0.0149,0.0149,,
contact_order,prop,8,300,43,0.1578,0.1946,-0.0369,0.0369,,
contact_order,prop,8,400,43,0.0425,0.07,-0.0275,0.0275,,
contact_order,prop,8,300,44,0.049,0.1086,-0.0596,0.0596,,
contact_order,prop,8,400,44,0.0462,0.0743,-0.0281,0.0281,,
contact_order,prop,8,300,45,0.06,0.1278,-0.0678,0.0678,,
contact_order,prop,8,400,45,0.0765,0.1231,-0.0466,0.0466,,
contact_order,prop,8,300,46,0.138,0.1697,-0.0317,0.0317,,
contact_order,prop,8,400,46,0.061,0.1008,-0.0398,0.0398,,
contact_order,prop,8,300,47,0.1477,0.1909,-0.0432,0.0432,,
contact_order,prop,8,400,47,0.063,0.0697,-0.0067,0.0067,,
rg,baseline,16,300,42,11.7021,18.0772,-6.3751,6.3751,,
rg,baseline,16,400,42,15.1952,20.9167,-5.7214,5.7214,,
rg,baseline,16,300,43,11.5692,17.6933,-6.1241,6.1241,,
rg,baseline,16,400,43,13.1025,23.214,-10.1115,10.1115,,
rg,baseline,16,300,44,9.2965,18.3988,-9.1024,9.1024,,
rg,baseline,16,400,44,14.4789,19.4547,-4.9758,4.9758,,
rg,baseline,16,300,45,10.1523,17.2945,-7.1422,7.1422,,
rg,baseline,16,400,45,11.1672,19.2236,-8.0563,8.0563,,
rg,baseline,16,300,46,10.9003,17.8954,-6.9951,6.9951,,
rg,baseline,16,400,46,15.6416,19.8464,-4.2048,4.2048,,
rg,baseline,16,300,47,11.8014,17.2912,-5.4898,5.4898,,
rg,baseline,16,400,47,14.21,20.7289,-6.5189,6.5189,,
rg,baseline,32,300,42,0.0013,18.0772,-18.0759,18.0759,32.3032,0
rg,baseline,32,400,42,1.4455,20.9167,-19.4711,19.4711,20.2886,0
rg,baseline,32,300,43,0.0014,17.6933,-17.6919,17.6919,29.4614,0
rg,baseline,32,400,43,1.1743,23.214,-22.0397,22.0397,52.0761,0
rg,baseline,32,300,44,0.0014,18.3988,-18.3975,18.3975,38.9272,0
rg,baseline,32,400,44,0.9337,19.4547,-18.5209,18.5209,18.9014,0
rg,baseline,32,300,45,0.0016,17.2945,-17.2929,17.2929,31.1073,0
rg,baseline,32,400,45,1.3864,19.2236,-17.8371,17.8371,14.5855,0
rg,baseline,32,300,46,0.0015,17.8954,-17.8939,17.8939,,
rg,baseline,32,400,46,0.2374,19.8464,-19.609,19.609,,
