label,n_pairs,mean,median,p10,p90,set,direction,w,L
net_charge_min_w128_L300,120,0.4948619363818151,0.3472579762465512,0.2895063116047151,0.8378954496517009,steered,net_charge_min,128,300
net_charge_min_w128_L400,120,0.3323526624634584,0.30106746443729926,0.25113544868233756,0.4646867321586599,steered,net_charge_min,128,400
net_charge_min_w128_L500,120,0.39408157094620067,0.3758859941899273,0.28892399276342035,0.5368662199503708,steered,net_charge_min,128,500
net_charge_min_w16_L300,120,0.4949259365498541,0.3464395577485815,0.29026012567936044,0.8395843465945133,steered,net_charge_min,16,300
net_charge_min_w16_L400,120,0.3315652392258078,0.2985510189694189,0.24771812260304724,0.46338424597540745,steered,net_charge_min,16,400
net_charge_min_w16_L500,120,0.3949599797906058,0.37457777590090036,0.2930720283064083,0.5378204143337237,steered,net_charge_min,16,500
net_charge_min_w32_L300,120,0.49532330145546005,0.3460798293394245,0.2896746710269843,0.839642684540957,steered,net_charge_min,32,300
net_charge_min_w32_L400,120,0.3317581617644653,0.29986424687373575,0.24908076204045018,0.4633714471256488,steered,net_charge_min,32,400
net_charge_min_w32_L500,120,0.395110354357751,0.3753833575990014,0.2918565141090988,0.5383079049516624,steered,net_charge_min,32,500
net_charge_min_w64_L300,120,0.49519057051081333,0.34608945820938986,0.2905780377778592,0.8389194022432515,steered,net_charge_min,64,300
net_charge_min_w64_L400,120,0.3316229131769397,0.30070859581833387,0.25013856158246467,0.46417812389653446,steered,net_charge_min,64,400
net_charge_min_w64_L500,120,0.39418108936299573,0.37391644978817495,0.2915690426803913,0.5382352484922251,steered,net_charge_min,64,500
