property,cluster_id
swi,9
tango,5
net_charge,6
pI,6
iupred3,7
iupred3_fraction_disordered,8
shannon_entropy,11
hydrophobic_patch_total_area,1
hydrophobic_patch_n_large,1
sap,1
scm_positive,3
scm_negative,4
rg,2
camsol_intrinsic,10
