r2_mean,r2_std,mae_mean,mae_std,n_train,n_test,probe_type,property,t,t_convention,input_variant
-0.2005945753256059,0.14112904646671087,0.24018938820235963,0.02823030893303206,192,48,linear,net_charge,0.3,"code (0=noise, 1=clean)",latent_only
-0.5632534742355346,0.46895994438298294,0.25815038979053495,0.03232280129549769,192,48,mlp,net_charge,0.3,"code (0=noise, 1=clean)",latent_only
-0.4425482749938965,0.3676796949431789,0.2531158268451691,0.018490082259081334,192,48,knn,net_charge,0.3,"code (0=noise, 1=clean)",latent_only
-0.460357362011574,0.23613766906885214,0.2567312555392721,0.026127813049431743,192,48,linear,net_charge,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
-3.250759172439575,3.1880384730687696,0.38179712891578677,0.070783236789858,192,48,mlp,net_charge,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
-0.5781805515289307,0.3627082132312464,0.26596524119377135,0.020935198407852153,192,48,knn,net_charge,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
-0.32867342592004783,0.3163054072520749,0.241717839402687,0.030911067461865383,192,48,linear,net_charge,0.5,"code (0=noise, 1=clean)",latent_only
-0.6431215524673461,0.2744696627316562,0.26947936713695525,0.029940769611750177,192,48,mlp,net_charge,0.5,"code (0=noise, 1=clean)",latent_only
-0.31692311763763426,0.12619489664470684,0.23888104856014253,0.029700770851300587,192,48,knn,net_charge,0.5,"code (0=noise, 1=clean)",latent_only
-0.5869904894040905,0.3388885602885869,0.26154202215830125,0.035581061425906224,192,48,linear,net_charge,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
-1.9817051410675048,1.4085229564633834,0.34105224609375,0.028605153248685285,192,48,mlp,net_charge,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
-0.6967046976089477,0.29833825491196814,0.27292104363441466,0.026454825736163045,192,48,knn,net_charge,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
-0.47706313501840664,0.7773911492367136,0.2393613435168546,0.043321179170801,192,48,linear,net_charge,0.8,"code (0=noise, 1=clean)",latent_only
-0.9317332983016968,0.9585199058878072,0.27373956739902494,0.06170984624960703,192,48,mlp,net_charge,0.8,"code (0=noise, 1=clean)",latent_only
-0.6356059074401855,0.36888355229942166,0.2711045205593109,0.022349570701263043,192,48,knn,net_charge,0.8,"code (0=noise, 1=clean)",latent_only
-1.035102691038855,1.0010736209158495,0.27289016232602037,0.04619838505579171,192,48,linear,net_charge,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
-1.5405105233192444,1.6273207214015868,0.3252857536077499,0.0751283822845447,192,48,mlp,net_charge,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
-0.8677172660827637,0.35339561765231214,0.291681569814682,0.02212524277103964,192,48,knn,net_charge,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
-0.6828838161486528,1.1640267915565143,0.25312398620461807,0.030910820112394908,24,6,linear,net_charge,1.0,"code (0=noise, 1=clean)",latent_only
-1.0225305318832398,0.9373444280550991,0.2986730247735977,0.09943673717347694,24,6,mlp,net_charge,1.0,"code (0=noise, 1=clean)",latent_only
-0.195181143283844,0.17669455562474112,0.23274674415588378,0.034540229060183496,24,6,knn,net_charge,1.0,"code (0=noise, 1=clean)",latent_only
-0.2634382683332007,0.21365732529042755,0.2424876404638733,0.02821574896416319,24,6,linear,net_charge,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
-2.7881933450698853,1.8146378418396405,0.40485348701477053,0.06001185093238471,24,6,mlp,net_charge,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
-0.21058735847473145,0.0903891533691405,0.2296426922082901,0.0345008923132988,24,6,knn,net_charge,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.17906733601832997,0.012312527719136178,0.6963085913623119,0.03384201700064254,9459,2364,linear,iupred3,0.3,"code (0=noise, 1=clean)",latent_only
0.1705561399459839,0.013800009570361494,0.6994105577468872,0.03344665571508569,9459,2364,mlp,iupred3,0.3,"code (0=noise, 1=clean)",latent_only
0.08518786430358886,0.01930205036077399,0.7345704793930053,0.03210829866107891,9459,2364,knn,iupred3,0.3,"code (0=noise, 1=clean)",latent_only
0.17727550247797738,0.010793249659683493,0.6973322511324884,0.03363918469903935,9459,2364,linear,iupred3,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.16348397731781006,0.016095046246620337,0.7028343796730041,0.031509236016394465,9459,2364,mlp,iupred3,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.06732721328735351,0.01932581052346213,0.7433667659759522,0.034182240118249135,9459,2364,knn,iupred3,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.44853116188427106,0.030365876171499242,0.5703240117064055,0.02376744309146265,9459,2364,linear,iupred3,0.5,"code (0=noise, 1=clean)",latent_only
0.44233413934707644,0.03249264572461276,0.5730769634246826,0.024308722909161123,9459,2364,mlp,iupred3,0.5,"code (0=noise, 1=clean)",latent_only
0.3804862260818481,0.02669038005509248,0.6047198653221131,0.02590260508049079,9459,2364,knn,iupred3,0.5,"code (0=noise, 1=clean)",latent_only
0.44790703668307363,0.02999402247725726,0.5704135079754352,0.023534005476071106,9459,2364,linear,iupred3,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
0.43385460376739504,0.028712109876832353,0.5774137735366821,0.025144136153218182,9459,2364,mlp,iupred3,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
0.35925530195236205,0.024432786089534628,0.6168299555778504,0.02782503153797293,9459,2364,knn,iupred3,0.5,"code (0=noise, 1=clean)",latent_plus_backbone
0.6899198339304642,0.01923233694027171,0.4250437795761113,0.01307708691915244,9459,2364,linear,iupred3,0.8,"code (0=noise, 1=clean)",latent_only
0.6735037326812744,0.020434762477512806,0.43667452335357665,0.014902178172701076,9459,2364,mlp,iupred3,0.8,"code (0=noise, 1=clean)",latent_only
0.6098851203918457,0.02253826297169655,0.4804730713367462,0.011464842385899543,9459,2364,knn,iupred3,0.8,"code (0=noise, 1=clean)",latent_only
0.689483044761153,0.018983368881366813,0.42479368074879564,0.013453081858988431,9459,2364,linear,iupred3,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.6230032563209533,0.010541966786842143,0.46809006929397584,0.01769527506615969,9459,2364,mlp,iupred3,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.5367664217948913,0.03527619070012955,0.5209560990333557,0.021613111751524305,9459,2364,knn,iupred3,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.7207096008592433,0.014951998548390596,0.4002009339724234,0.015685799000799038,1182,295,linear,iupred3,1.0,"code (0=noise, 1=clean)",latent_only
0.698896336555481,0.01867166310645673,0.4174800992012024,0.01273360067564566,1182,295,mlp,iupred3,1.0,"code (0=noise, 1=clean)",latent_only
0.6635549902915955,0.015783016660200648,0.446840500831604,0.02019738891555515,1182,295,knn,iupred3,1.0,"code (0=noise, 1=clean)",latent_only
0.7201695155234258,0.014806034636551696,0.4000303131191211,0.016065360004930553,1182,295,linear,iupred3,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.6911802768707276,0.027889595167002106,0.42374982833862307,0.014482591833965231,1182,295,mlp,iupred3,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.6299379706382752,0.021144552919271316,0.46557202339172366,0.0268399127055563,1182,295,knn,iupred3,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.17844918815909167,0.02419326453174059,0.706098200474767,0.030441787644093034,9459,2364,linear,camsol_intrinsic,0.3,"code (0=noise, 1=clean)",latent_only
0.1708223342895508,0.02530663547890054,0.7099139332771301,0.030496296940474503,9459,2364,mlp,camsol_intrinsic,0.3,"code (0=noise, 1=clean)",latent_only
0.08198391199111939,0.016470208021542313,0.7472356677055358,0.038151492417199624,9459,2364,knn,camsol_intrinsic,0.3,"code (0=noise, 1=clean)",latent_only
0.17678361068258347,0.024581602060449584,0.7066358157161325,0.03069943559730577,9459,2364,linear,camsol_intrinsic,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.16217234134674072,0.027118195711645258,0.7130870699882508,0.02879811077891458,9459,2364,mlp,camsol_intrinsic,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.06941009759902954,0.025951622975740066,0.7547074675559997,0.035474128348258464,9459,2364,knn,camsol_intrinsic,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.4578611075795651,0.04218418749863187,0.5668362950499463,0.0161118972218246,9459,2364,linear,camsol_intrinsic,0.5,"code (0=noise, 1=clean)",latent_only
