,D0,D1,D2,D3,D4,D5,D6,D7
D0,1.0,0.013295252602321825,-0.034936958802153736,0.031179639500724495,-0.07700469969932557,0.015033159643999731,0.0030011595377890817,-0.066973148069919
D1,0.013295252602321825,1.0,0.06908041878035452,-0.00629470262514579,-0.02150691170787369,-0.033690659886917926,-0.013894835635880752,-0.0026818957793013245
D2,-0.03493695880215374,0.06908041878035452,0.9999999999999999,0.017859738208281673,0.012906765953247119,-0.10200118673740655,0.028105554832534855,-0.0499024983385201
D3,0.03117963950072449,-0.00629470262514579,0.017859738208281673,1.0,-0.036183471375992246,0.01251035160615086,-0.0419692542104436,-0.019210303968516855
D4,-0.07700469969932555,-0.02150691170787369,0.012906765953247117,-0.03618347137599225,1.0,-0.0026492957289147865,-0.020027760814357674,0.09029857277341898
D5,0.015033159643999731,-0.03369065988691793,-0.10200118673740655,0.01251035160615086,-0.0026492957289147865,0.9999999999999999,0.010666598078868609,-0.025603737418885306
D6,0.0030011595377890817,-0.013894835635880752,0.02810555483253485,-0.0419692542104436,-0.020027760814357674,0.01066659807886861,0.9999999999999999,-0.050956130246934454
D7,-0.06697314806991898,-0.0026818957793013245,-0.04990249833852009,-0.01921030396851686,0.09029857277341898,-0.025603737418885306,-0.050956130246934454,1.0
