component,eigenvalue,explained_variance_ratio,cumulative_variance
0,1.1798467902905867,0.16637060956231092,0.16637060956231092
1,1.0830213234509092,0.15271721653548836,0.3190878260977993
2,0.9818581057849703,0.13845215574380562,0.45753998184160494
3,0.8938659728657821,0.12604435423014662,0.5835843360717515
4,0.8463052049443393,0.11933779367036987,0.7029221297421214
5,0.7495957858232658,0.1057007645730349,0.8086228943151563
6,0.7459766006263608,0.10519042199950494,0.9138133163146612
7,0.6112082078646947,0.08618668368533866,0.9999999999999999
