dim,mean,std,skewness,kurtosis,min,max,p1,p99,shapiro_W,shapiro_p,shapiro_n
0,-0.01235281303524971,0.8782296776771545,0.6351614101272958,1.5842708057649721,-4.782808303833008,4.206022262573242,-2.0491807365417483,2.411021146774292,0.9410560812216789,9.880675173455537e-41,5000
1,-0.014683270826935768,0.8625693917274475,-0.13731488188424068,1.5167087822098662,-6.117562770843506,5.852089881896973,-2.338121566772461,2.1508421897888184,0.9836622395600787,1.3243300549052122e-23,5000
2,-0.00042567032505758107,0.8117585182189941,0.06653160771239981,1.7718718681628296,-5.329988956451416,5.48016357421875,-2.135464811325073,2.1827034950256348,0.9778651562112343,3.2343989761865346e-27,5000
3,0.036438874900341034,1.0395433902740479,-0.17645492437827082,-0.41673947840739345,-3.9158718585968018,4.234318733215332,-2.2705384731292724,2.263022222518922,0.9888141804433291,1.759615016249557e-19,5000
4,-0.015565022826194763,0.960308313369751,0.04707349795329353,0.2324995684425799,-4.315114974975586,5.33709716796875,-2.1910339164733887,2.301275405883789,0.9970264171088139,2.1899731278252038e-08,5000
5,0.037507373839616776,0.9774767756462097,0.02292570332954858,0.8706471150278117,-4.88203763961792,4.450780868530273,-2.4739963150024415,2.539729862213136,0.9804251506553355,1.0108808165207757e-25,5000
6,-0.053305141627788544,0.9284111261367798,0.05710846461131605,0.10098373904878111,-4.084890365600586,4.164704322814941,-2.1220839309692385,2.1832081413269044,0.9928419277575701,3.631945535213257e-15,5000
7,0.001688198302872479,1.047455072402954,0.11062167043248834,-0.3693791345909365,-3.4175357818603516,3.6312458515167236,-2.2685180473327637,2.359223003387452,0.9956591019470551,4.9835547486580065e-11,5000
