probe,n_params,fold,best_epoch,best_r2_mean,r2_swi,r2_tango,r2_net_charge,r2_pI,r2_iupred3,r2_iupred3_fraction_disordered,r2_shannon_entropy,r2_hydrophobic_patch_total_area,r2_hydrophobic_patch_n_large,r2_sap,r2_scm_positive,r2_scm_negative,r2_rg
linear,117,0,12,0.16400936475166908,0.13745170831680298,0.09607583284378052,0.1683950424194336,0.18512487411499023,0.3182961940765381,0.14696449041366577,0.456787645816803,0.04701966047286987,0.037049174308776855,0.04893392324447632,0.28156131505966187,0.19282466173171997,0.015637218952178955
mlp_h32_L1,717,0,19,0.21607964772444505,0.1475394368171692,0.11528027057647705,0.208238422870636,0.24019289016723633,0.3579159379005432,0.17751193046569824,0.6459307670593262,0.10658669471740723,0.10424846410751343,0.14297062158584595,0.3091890811920166,0.22919869422912598,0.024232208728790283
mlp_h64_L1,1421,0,17,0.21381648228718683,0.14727240800857544,0.11230486631393433,0.2096550464630127,0.2411419153213501,0.35684502124786377,0.1795632243156433,0.6367166042327881,0.10060125589370728,0.09703481197357178,0.13617604970932007,0.3095054626464844,0.22775369882583618,0.025043904781341553
mlp_h128_L2,19341,0,9,0.25602203149061936,0.16303563117980957,0.14530080556869507,0.22627800703048706,0.2587525248527527,0.38928091526031494,0.20266324281692505,0.6622352600097656,0.18948036432266235,0.1805933713912964,0.2747209668159485,0.3244171142578125,0.256115198135376,0.055413007736206055
per_res_mlp_h64_L1,1421,0,19,0.31207533983083874,0.2806049585342407,0.15502268075942993,0.5334286689758301,0.5133411884307861,0.6494364738464355,0.29014450311660767,0.6318463087081909,0.06620955467224121,0.054850101470947266,0.10025537014007568,0.4470423460006714,0.3092542886734009,0.0255429744720459
per_res_mlp_h128_L2,19341,0,14,0.44247672191032994,0.3667246699333191,0.17570531368255615,0.8361324667930603,0.7550414800643921,0.8811947107315063,0.4429684281349182,0.7781465649604797,0.1327715516090393,0.13798409700393677,0.2363489270210266,0.48591309785842896,0.4636082649230957,0.05965781211853027
per_res_mlp_h256_L3,137229,0,9,0.448094354226039,0.37144482135772705,0.18764126300811768,0.7621700763702393,0.6904261112213135,0.9100520610809326,0.4697261452674866,0.7963861227035522,0.17249846458435059,0.180800199508667,0.28013837337493896,0.5000190138816833,0.43981683254241943,0.06410712003707886
