direction,w,fixt1_codesign_pct,fixt1_n_codes,nav1_codesign_pct,nav1_n_codes,d_codesign_pp,fixt1_sigma,fixt1_n_prop,nav1_sigma,nav1_n_prop,d_sigma
unsteered,0,47.91666666666667,48,47.91666666666667,48,0.0,0.0,422,0.0,422,0.0
camsol_max,32,45.83333333333333,48,41.66666666666667,48,4.1666666666666625,0.4809231052081441,48,0.49616894599094175,48,-0.01524584078279767
camsol_max,48,31.25,48,27.083333333333332,48,4.166666666666669,0.9229468185826684,48,0.941280024553341,48,-0.018333205970672672
camsol_max,64,14.583333333333334,48,18.75,48,-4.166666666666666,1.6715811372382785,48,1.534709126162533,48,0.13687201107574554
camsol_max,128,4.166666666666666,48,2.083333333333333,48,2.083333333333333,2.9136691217229576,48,2.5801691069991297,48,0.33350001472382784
tango_min,32,45.83333333333333,48,45.83333333333333,48,0.0,0.46392585307079226,48,0.4166272390921486,48,0.047298613978643655
tango_min,48,33.33333333333333,48,37.5,48,-4.166666666666669,0.9936050492723691,48,0.9278697039525775,48,0.06573534531979164
tango_min,64,27.083333333333332,48,22.916666666666664,48,4.166666666666666,1.512902290824924,48,1.4435772756283762,48,0.06932501519654766
tango_min,128,4.166666666666666,48,6.25,48,-2.0833333333333335,1.9741509580773127,48,1.913273825921364,48,0.0608771321559487
iupred_max,32,47.91666666666667,48,37.5,48,10.416666666666668,0.7204255406999525,48,0.7633277407592988,48,-0.04290220005934631
iupred_max,64,2.083333333333333,48,10.416666666666668,48,-8.333333333333334,3.3457658814723916,48,3.3365197176664974,48,0.00924616380589427
iupred_max,128,0.0,48,0.0,48,0.0,3.7364008919983887,48,3.7364008919983887,48,0.0
combo_camsol_tango,32,45.83333333333333,48,52.083333333333336,48,-6.250000000000005,0.716336171467018,48,0.7382854310399696,48,-0.021949259572951574
combo_camsol_tango,48,33.33333333333333,48,33.33333333333333,48,0.0,1.4961689682107109,48,1.4141816197105779,48,0.081987348500133
combo_camsol_tango,64,18.75,48,20.833333333333336,48,-2.0833333333333344,2.5264332450924067,48,2.4360124724923393,48,0.09042077260006742
combo_camsol_tango,128,6.25,48,8.333333333333332,48,-2.083333333333333,3.9407395646330046,48,3.761989440072684,48,0.1787501245603207
