arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,2.2198920249938965,2.2198920249938965,14.033127069473267
baseline,50,1,3.717556953430176,3.717556953430176,13.713732957839966
baseline,50,2,0.8796303272247314,0.8796303272247314,13.438990831375122
baseline,100,0,1.024551272392273,1.024551272392273,20.870826244354248
baseline,100,1,7.550179958343506,7.550179958343506,21.673120498657227
baseline,100,2,1.0829572677612305,1.0829572677612305,20.29917573928833
hybrid,50,0,2.1914186477661133,2.1914186477661133,10.72539758682251
hybrid,50,1,2.690800905227661,2.690800905227661,11.825650930404663
hybrid,50,2,1.9980096817016602,1.9980096817016602,10.769705772399902
hybrid,100,0,0.9324870705604553,0.9324870705604553,19.386503219604492
hybrid,100,1,1.6401751041412354,1.6401751041412354,21.20263147354126
hybrid,100,2,1.0571622848510742,1.0571622848510742,22.623371839523315
