cell,direction,w,codesign_rate,codesign_anchor,d_codesign_pp,designable_rate,designable_anchor,d_designable_pp,diversity_tm,diversity_anchor,d_diversity_tm,aa_kl_vs_w1,aa_max_freq,aa_shannon_delta,aa_homopoly_delta,aa_lowcplx_delta,prop_target,prop_value,prop_anchor,prop_delta,prop_delta_sigma,v_codesign,v_designable,v_diversity,v_aa_kl,v_max_aa,v_seq_quality,v_property,overall
hydpatch_min_w1,hydpatch_min,1,0.4791666666666667,0.4791666666666667,0.0,,,,,,,,,,,,hydrophobic_patch_total_area,2092.7570093864415,2253.8944905435624,-161.13748115712087,0.15158722473803238,PASS,MISSING,MISSING,MISSING,MISSING,PASS,DELIVERED,WORKING
hydpatch_min_w2,hydpatch_min,2,0.4583333333333333,0.4791666666666667,-2.083333333333337,,,,,,,,,,,,hydrophobic_patch_total_area,2088.4458701648177,2092.7570093864415,-4.311139221623762,0.004055627687440413,PASS,MISSING,MISSING,MISSING,MISSING,PASS,NULL,INERT
hydpatch_min_w4,hydpatch_min,4,0.4583333333333333,0.4791666666666667,-2.083333333333337,,,,,,,,,,,,hydrophobic_patch_total_area,2071.712115176597,2092.7570093864415,-21.044894209844642,0.01979761061962498,PASS,MISSING,MISSING,MISSING,MISSING,PASS,NULL,INERT
hydpatch_min_w8,hydpatch_min,8,0.4583333333333333,0.4791666666666667,-2.083333333333337,,,,,,,,,,,,hydrophobic_patch_total_area,2052.5634093306003,2092.7570093864415,-40.193600055841216,0.037811415698836885,PASS,MISSING,MISSING,MISSING,MISSING,PASS,NULL,INERT
hydpatch_min_w16,hydpatch_min,16,0.5,0.4791666666666667,2.0833333333333313,,,,,,,,,,,,hydrophobic_patch_total_area,2025.3981883490796,2092.7570093864415,-67.35882103736185,0.06336661507525525,PASS,MISSING,MISSING,MISSING,MISSING,PASS,WEAK,INERT
hydpatch_min_w32,hydpatch_min,32,0.5,0.4791666666666667,2.0833333333333313,,,,0.4076800276365675,,,0.0,0.1230208333333333,0.0,0.0,0.0,hydrophobic_patch_total_area,1988.8268875005735,2092.7570093864415,-103.93012188586795,0.0977704171011733,PASS,MISSING,MISSING,PASS,PASS,PASS,WEAK,INERT
hydpatch_min_w48,hydpatch_min,48,0.3958333333333333,0.4791666666666667,-8.333333333333337,,,,0.4075744493537991,,,0.0036256564974653,0.1346875,0.0,0.0,0.0,hydrophobic_patch_total_area,1923.7745006424,2092.7570093864415,-168.98250874404152,0.1589672951682946,PASS,MISSING,MISSING,PASS,PASS,PASS,DELIVERED,WORKING
hydpatch_min_w64,hydpatch_min,64,0.3541666666666667,0.4791666666666667,-12.5,,,,0.40741106470038835,,,0.0203595292705698,0.1491145833333333,0.0,0.0,0.0,hydrophobic_patch_total_area,1815.0598014043069,2092.7570093864415,-277.6972079821346,0.26123871847336316,PASS,MISSING,MISSING,PASS,PASS,PASS,DELIVERED,WORKING
hydpatch_min_w128,hydpatch_min,128,0.0625,0.4791666666666667,-41.66666666666667,,,,0.4079205909137157,,,0.1772100435228254,0.2135416666666666,0.0,0.0,0.0,hydrophobic_patch_total_area,1669.3278268486474,2092.7570093864415,-423.4291825377941,0.3983334863687699,FAIL,MISSING,MISSING,WARN,PASS,PASS,DELIVERED,BROKEN
