protein_id,seed,length,target,coScRMSD_ca
s1000_n310,1000,310,300,0.612
s1030_n305,1030,305,300,0.576
s1060_n305,1060,305,300,5.754
s1070_n308,1070,308,300,1.091
s1021_n390,1021,390,400,0.57
s1041_n398,1041,398,400,13.586
s1091_n397,1091,397,400,1.055
s1131_n399,1131,399,400,6.366
s1084_n510,1084,510,500,10.743
s1104_n506,1104,506,500,9.459
s1114_n507,1114,507,500,3.002
s1153_n495,1153,495,500,12.554
