direction,w,length,seed,protein_id,predictor,real,gap
camsol_max,4,300,42,s42_n300,1.8003345727920532,,
camsol_max,4,400,42,s42_n400,1.749714732170105,,
camsol_max,4,500,42,s42_n500,1.8630764484405518,,
camsol_max,4,300,43,s43_n300,1.375963807106018,,
camsol_max,4,400,43,s43_n400,1.75387704372406,,
camsol_max,4,500,43,s43_n500,2.522623062133789,,
camsol_max,4,300,44,s44_n300,1.36495041847229,,
camsol_max,4,400,44,s44_n400,-1.3109773397445679,,
camsol_max,4,500,44,s44_n500,1.160919427871704,,
camsol_max,4,300,45,s45_n300,2.8377113342285156,,
camsol_max,4,400,45,s45_n400,2.425534725189209,,
camsol_max,4,500,45,s45_n500,1.9202033281326294,,
camsol_max,4,300,46,s46_n300,2.2525722980499268,,
camsol_max,4,400,46,s46_n400,-0.1822599172592163,,
camsol_max,4,500,46,s46_n500,2.3230583667755127,,
camsol_max,4,300,47,s47_n300,2.581123113632202,,
camsol_max,4,400,47,s47_n400,3.7617433071136475,,
camsol_max,4,500,47,s47_n500,-3.410573720932007,,
camsol_max,4,300,48,s48_n300,1.9946701526641846,,
camsol_max,4,400,48,s48_n400,2.122729778289795,,
camsol_max,4,500,48,s48_n500,0.46342524886131287,,
camsol_max,4,300,49,s49_n300,-0.0045747309923172,,
camsol_max,4,400,49,s49_n400,1.6234210729599,,
camsol_max,4,500,49,s49_n500,0.7599259614944458,,
camsol_max,4,300,50,s50_n300,1.0925896167755127,,
camsol_max,4,400,50,s50_n400,2.1709964275360107,,
camsol_max,4,500,50,s50_n500,-0.7803788185119629,,
camsol_max,4,300,51,s51_n300,2.846734046936035,,
camsol_max,4,400,51,s51_n400,0.7555413246154785,,
camsol_max,4,500,51,s51_n500,-0.7970681190490723,,
camsol_max,4,300,52,s52_n300,1.9641096591949463,,
camsol_max,4,400,52,s52_n400,1.4695892333984375,,
camsol_max,4,500,52,s52_n500,0.338667631149292,,
camsol_max,4,300,53,s53_n300,2.3760552406311035,,
camsol_max,4,400,53,s53_n400,1.2759685516357422,,
camsol_max,4,500,53,s53_n500,-0.38901934027671814,,
camsol_max,4,300,54,s54_n300,0.34179577231407166,,
camsol_max,4,400,54,s54_n400,2.2492425441741943,,
camsol_max,4,500,54,s54_n500,-1.172940969467163,,
camsol_max,4,300,55,s55_n300,2.2404730319976807,,
camsol_max,4,400,55,s55_n400,0.7709184885025024,,
camsol_max,4,500,55,s55_n500,1.5721222162246704,,
camsol_max,4,300,56,s56_n300,2.1474177837371826,,
camsol_max,4,400,56,s56_n400,0.5134708285331726,,
camsol_max,4,500,56,s56_n500,2.3777499198913574,,
camsol_max,4,300,57,s57_n300,1.916670560836792,,
camsol_max,4,400,57,s57_n400,1.6673802137374878,,
camsol_max,4,500,57,s57_n500,0.19416716694831848,,
camsol_max,8,300,42,s42_n300,1.9604662656784058,,
camsol_max,8,400,42,s42_n400,1.8584973812103271,,
camsol_max,8,500,42,s42_n500,1.9660345315933228,,
camsol_max,8,300,43,s43_n300,1.6437925100326538,,
camsol_max,8,400,43,s43_n400,1.8696669340133667,,
camsol_max,8,500,43,s43_n500,2.606509208679199,,
camsol_max,8,300,44,s44_n300,1.6121963262557983,,
camsol_max,8,400,44,s44_n400,-1.1529310941696167,,
camsol_max,8,500,44,s44_n500,1.341346263885498,,
camsol_max,8,300,45,s45_n300,2.956474781036377,,
camsol_max,8,400,45,s45_n400,2.543715000152588,,
camsol_max,8,500,45,s45_n500,2.0064749717712402,,
camsol_max,8,300,46,s46_n300,2.395683765411377,,
camsol_max,8,400,46,s46_n400,-0.04500611126422882,,
camsol_max,8,500,46,s46_n500,2.3876452445983887,,
camsol_max,8,300,47,s47_n300,2.967897653579712,,
camsol_max,8,400,47,s47_n400,3.856541395187378,,
camsol_max,8,500,47,s47_n500,-3.0429272651672363,,
camsol_max,8,300,48,s48_n300,2.4443397521972656,,
camsol_max,8,400,48,s48_n400,2.3853988647460938,,
camsol_max,8,500,48,s48_n500,0.6254412531852722,,
camsol_max,8,300,49,s49_n300,0.2158990502357483,,
camsol_max,8,400,49,s49_n400,1.7863914966583252,,
camsol_max,8,500,49,s49_n500,1.0866140127182007,,
camsol_max,8,300,50,s50_n300,1.453345775604248,,
camsol_max,8,400,50,s50_n400,2.3137171268463135,,
camsol_max,8,500,50,s50_n500,-0.48154309391975403,,
camsol_max,8,300,51,s51_n300,3.104440450668335,,
camsol_max,8,400,51,s51_n400,1.0302259922027588,,
camsol_max,8,500,51,s51_n500,-0.571392297744751,,
camsol_max,8,300,52,s52_n300,2.137939691543579,,
camsol_max,8,400,52,s52_n400,1.678801417350769,,
camsol_max,8,500,52,s52_n500,0.5178457498550415,,
camsol_max,8,300,53,s53_n300,2.4947991371154785,,
camsol_max,8,400,53,s53_n400,1.3807435035705566,,
camsol_max,8,500,53,s53_n500,-0.2588508129119873,,
camsol_max,8,300,54,s54_n300,0.6351457238197327,,
camsol_max,8,400,54,s54_n400,2.560093402862549,,
camsol_max,8,500,54,s54_n500,-0.9469434022903442,,
camsol_max,8,300,55,s55_n300,2.338599681854248,,
camsol_max,8,400,55,s55_n400,0.9784382581710815,,
camsol_max,8,500,55,s55_n500,1.7799010276794434,,
camsol_max,8,300,56,s56_n300,2.265428066253662,,
camsol_max,8,400,56,s56_n400,0.6550916433334351,,
camsol_max,8,500,56,s56_n500,2.6092514991760254,,
camsol_max,8,300,57,s57_n300,2.2126619815826416,,
camsol_max,8,400,57,s57_n400,1.7453336715698242,,
camsol_max,8,500,57,s57_n500,0.5850367546081543,,
camsol_max,16,300,42,s42_n300,2.403210401535034,,
camsol_max,16,400,42,s42_n400,2.2320239543914795,,
camsol_max,16,500,42,s42_n500,2.331552505493164,,
camsol_max,16,300,43,s43_n300,2.016319751739502,,
camsol_max,16,400,43,s43_n400,2.122025728225708,,
camsol_max,16,500,43,s43_n500,2.892303943634033,,
camsol_max,16,300,44,s44_n300,2.0323567390441895,,
camsol_max,16,400,44,s44_n400,-0.82757568359375,,
camsol_max,16,500,44,s44_n500,1.5724822282791138,,
camsol_max,16,300,45,s45_n300,3.2315611839294434,,
camsol_max,16,400,45,s45_n400,2.7790989875793457,,
camsol_max,16,500,45,s45_n500,2.155592203140259,,
camsol_max,16,300,46,s46_n300,2.7543065547943115,,
camsol_max,16,400,46,s46_n400,0.30816540122032166,,
camsol_max,16,500,46,s46_n500,2.566415548324585,,
camsol_max,16,300,47,s47_n300,3.3225932121276855,,
camsol_max,16,400,47,s47_n400,4.095558166503906,,
camsol_max,16,500,47,s47_n500,-2.338348627090454,,
camsol_max,16,300,48,s48_n300,2.873267650604248,,
camsol_max,16,400,48,s48_n400,2.686816930770874,,
camsol_max,16,500,48,s48_n500,0.973780632019043,,
camsol_max,16,300,49,s49_n300,0.5450503826141357,,
camsol_max,16,400,49,s49_n400,2.0599377155303955,,
camsol_max,16,500,49,s49_n500,1.5759354829788208,,
camsol_max,16,300,50,s50_n300,1.6826553344726562,,
camsol_max,16,400,50,s50_n400,2.7616922855377197,,
camsol_max,16,500,50,s50_n500,-0.009728267788887024,,
camsol_max,16,300,51,s51_n300,3.3176426887512207,,
camsol_max,16,400,51,s51_n400,1.4587724208831787,,
camsol_max,16,500,51,s51_n500,-0.1276722252368927,,
camsol_max,16,300,52,s52_n300,2.617393970489502,,
camsol_max,16,400,52,s52_n400,2.167569637298584,,
camsol_max,16,500,52,s52_n500,0.9341521263122559,,
camsol_max,16,300,53,s53_n300,2.810377836227417,,
camsol_max,16,400,53,s53_n400,1.72612726688385,,
camsol_max,16,500,53,s53_n500,0.3112466335296631,,
camsol_max,16,300,54,s54_n300,1.089018702507019,,
camsol_max,16,400,54,s54_n400,3.0182266235351562,,
camsol_max,16,500,54,s54_n500,-0.4945138990879059,,
camsol_max,16,300,55,s55_n300,2.7545785903930664,,
camsol_max,16,400,55,s55_n400,1.3093630075454712,,
camsol_max,16,500,55,s55_n500,2.0616533756256104,,
camsol_max,16,300,56,s56_n300,2.5725927352905273,,
camsol_max,16,400,56,s56_n400,0.98063063621521,,
camsol_max,16,500,56,s56_n500,2.974092721939087,,
camsol_max,16,300,57,s57_n300,2.5758206844329834,,
camsol_max,16,400,57,s57_n400,2.3922572135925293,,
camsol_max,16,500,57,s57_n500,0.9392799139022827,,
tango_min,1,300,42,s42_n300,613.5914916992188,594.395,19.196491699218768
tango_min,1,400,42,s42_n400,1107.4105224609375,1076.76,30.65052246093751
tango_min,1,500,42,s42_n500,1172.154052734375,1013.49,158.664052734375
tango_min,1,300,43,s43_n300,737.2413940429688,607.409,129.83239404296876
tango_min,1,400,43,s43_n400,1230.09619140625,1083.35,146.7461914062501
tango_min,1,500,43,s43_n500,811.8246459960938,562.44,249.3846459960937
tango_min,1,300,44,s44_n300,870.5968627929688,714.142,156.4548627929687
tango_min,1,400,44,s44_n400,1662.2421875,1429.3,232.94218750000005
tango_min,1,500,44,s44_n500,1428.8603515625,1552.57,-123.70964843749994
tango_min,1,300,45,s45_n300,707.2337646484375,568.813,138.4207646484375
tango_min,1,400,45,s45_n400,861.64404296875,838.809,22.83504296875003
tango_min,1,500,45,s45_n500,1053.7938232421875,749.195,304.59882324218745
tango_min,1,300,46,s46_n300,801.862548828125,484.145,317.717548828125
tango_min,1,400,46,s46_n400,1461.11572265625,1840.27,-379.15427734375
tango_min,1,500,46,s46_n500,936.455322265625,559.733,376.72232226562505
tango_min,1,300,47,s47_n300,650.380126953125,571.452,78.928126953125
tango_min,1,400,47,s47_n400,561.267578125,482.278,78.98957812499998
tango_min,1,500,47,s47_n500,1425.955322265625,1153.99,271.965322265625
tango_min,1,300,48,s48_n300,762.3689575195312,529.342,233.02695751953127
tango_min,1,400,48,s48_n400,1085.840087890625,1045.4,40.44008789062491
tango_min,1,500,48,s48_n500,1327.2652587890625,1420.26,-92.99474121093749
tango_min,1,300,49,s49_n300,936.5061645507812,894.748,41.7581645507812
tango_min,1,400,49,s49_n400,731.5674438476562,643.448,88.11944384765627
tango_min,1,500,49,s49_n500,1199.582275390625,1032.98,166.60227539062498
tango_min,1,300,50,s50_n300,698.2738647460938,590.393,107.88086474609372
tango_min,1,400,50,s50_n400,1001.3116455078125,901.747,99.56464550781254
tango_min,1,500,50,s50_n500,896.9196166992188,951.369,-54.44938330078128
tango_min,1,300,51,s51_n300,672.6395263671875,514.509,158.13052636718749
tango_min,1,400,51,s51_n400,1116.126953125,902.161,213.96595312500006
tango_min,1,500,51,s51_n500,1563.36083984375,1603.91,-40.54916015625008
tango_min,1,300,52,s52_n300,688.2537841796875,546.489,141.76478417968747
tango_min,1,400,52,s52_n400,1091.679443359375,948.002,143.67744335937505
tango_min,1,500,52,s52_n500,1473.47705078125,877.784,595.69305078125
tango_min,1,300,53,s53_n300,782.0451049804688,472.19,309.85510498046875
tango_min,1,400,53,s53_n400,1045.8154296875,841.985,203.8304296875
tango_min,1,500,53,s53_n500,1530.750244140625,1223.9,306.8502441406249
tango_min,1,300,54,s54_n300,1047.973876953125,1077.12,-29.14612304687489
tango_min,1,400,54,s54_n400,864.6517333984375,902.79,-38.138266601562464
tango_min,1,500,54,s54_n500,1623.4559326171875,1652.99,-29.53406738281251
tango_min,1,300,55,s55_n300,642.7335205078125,518.916,123.81752050781245
tango_min,1,400,55,s55_n400,1029.0509033203125,886.772,142.27890332031245
tango_min,1,500,55,s55_n500,1326.678466796875,1200.79,125.88846679687504
tango_min,1,300,56,s56_n300,861.0791625976562,605.367,255.7121625976563
tango_min,1,400,56,s56_n400,726.3499755859375,500.174,226.17597558593752
tango_min,1,500,56,s56_n500,985.1444091796875,974.804,10.340409179687526
tango_min,1,300,57,s57_n300,822.5782470703125,599.687,222.8912470703125
tango_min,1,400,57,s57_n400,687.53515625,763.806,-76.27084375000004
tango_min,1,500,57,s57_n500,1247.6484375,1370.39,-122.7415625000001
tango_min,2,300,42,s42_n300,606.7210083007812,594.395,12.326008300781268
tango_min,2,400,42,s42_n400,1090.9737548828125,1061.57,29.403754882812564
tango_min,2,500,42,s42_n500,1156.4058837890625,1011.01,145.3958837890625
tango_min,2,300,43,s43_n300,730.4622802734375,607.409,123.05328027343751
tango_min,2,400,43,s43_n400,1206.13525390625,1038.64,167.4952539062499
tango_min,2,500,43,s43_n500,806.0568237304688,562.44,243.6168237304687
tango_min,2,300,44,s44_n300,855.1776123046875,714.392,140.78561230468745
tango_min,2,400,44,s44_n400,1649.9549560546875,1429.3,220.65495605468755
tango_min,2,500,44,s44_n500,1432.1011962890625,1558.74,-126.63880371093751
tango_min,2,300,45,s45_n300,693.2431640625,561.162,132.08116406249997
tango_min,2,400,45,s45_n400,846.5842895507812,838.834,7.750289550781304
tango_min,2,500,45,s45_n500,1045.2772216796875,749.152,296.12522167968746
tango_min,2,300,46,s46_n300,772.8225708007812,473.339,299.48357080078125
tango_min,2,400,46,s46_n400,1450.34765625,1840.27,-389.92234375
tango_min,2,500,46,s46_n500,930.3316650390625,559.733,370.59866503906255
tango_min,2,300,47,s47_n300,630.5408935546875,565.261,65.27989355468753
tango_min,2,400,47,s47_n400,554.7703247070312,482.278,72.49232470703123
tango_min,2,500,47,s47_n500,1418.1416015625,1153.99,264.1516015625
tango_min,2,300,48,s48_n300,754.7688598632812,529.342,225.42685986328127
tango_min,2,400,48,s48_n400,1078.271484375,1045.83,32.44148437500007
tango_min,2,500,48,s48_n500,1319.517578125,1420.26,-100.74242187499999
tango_min,2,300,49,s49_n300,926.1759033203125,894.748,31.427903320312453
tango_min,2,400,49,s49_n400,723.061279296875,643.448,79.61327929687502
tango_min,2,500,49,s49_n500,1187.36962890625,1020.99,166.37962890625
tango_min,2,300,50,s50_n300,690.6646728515625,590.393,100.27167285156247
tango_min,2,400,50,s50_n400,963.4385375976562,838.489,124.94953759765622
tango_min,2,500,50,s50_n500,886.8123168945312,951.369,-64.55668310546878
tango_min,2,300,51,s51_n300,658.0643920898438,511.669,146.39539208984377
tango_min,2,400,51,s51_n400,1110.26513671875,906.239,204.02613671874997
tango_min,2,500,51,s51_n500,1547.7630615234375,1602.05,-54.286938476562455
tango_min,2,300,52,s52_n300,683.0040283203125,545.695,137.30902832031245
tango_min,2,400,52,s52_n400,1075.0081787109375,949.919,125.08917871093752
tango_min,2,500,52,s52_n500,1460.330322265625,873.233,587.097322265625
tango_min,2,300,53,s53_n300,764.4398803710938,473.759,290.68088037109374
tango_min,2,400,53,s53_n400,1040.025146484375,848.556,191.46914648437496
tango_min,2,500,53,s53_n500,1505.0997314453125,1221.87,283.2297314453126
tango_min,2,300,54,s54_n300,1040.3792724609375,1077.12,-36.74072753906239
tango_min,2,400,54,s54_n400,870.26025390625,951.119,-80.85874609375003
tango_min,2,500,54,s54_n500,1614.9454345703125,1655.7,-40.754565429687545
tango_min,2,300,55,s55_n300,633.2186889648438,517.894,115.32468896484374
tango_min,2,400,55,s55_n400,1020.4732055664062,886.772,133.7012055664062
tango_min,2,500,55,s55_n500,1317.6917724609375,1184.17,133.52177246093743
tango_min,2,300,56,s56_n300,854.431884765625,605.367,249.06488476562504
tango_min,2,400,56,s56_n400,715.4150390625,491.159,224.2560390625
tango_min,2,500,56,s56_n500,960.8858642578125,967.836,-6.950135742187513
tango_min,2,300,57,s57_n300,787.379638671875,573.663,213.716638671875
tango_min,2,400,57,s57_n400,679.7228393554688,764.149,-84.42616064453125
tango_min,2,500,57,s57_n500,1220.790771484375,1351.8,-131.00922851562495
tango_min,4,300,42,s42_n300,592.345703125,594.395,-2.049296874999982
tango_min,4,400,42,s42_n400,1067.1181640625,1054.0,13.1181640625
tango_min,4,500,42,s42_n500,1132.4813232421875,1019.84,112.64132324218747
tango_min,4,300,43,s43_n300,713.799560546875,602.574,111.22556054687504
tango_min,4,400,43,s43_n400,1182.589599609375,1031.48,151.10959960937498
tango_min,4,500,43,s43_n500,791.7198486328125,546.457,245.2628486328125
tango_min,4,300,44,s44_n300,819.276611328125,696.798,122.478611328125
tango_min,4,400,44,s44_n400,1626.0826416015625,1429.3,196.78264160156255
tango_min,4,500,44,s44_n500,1398.4034423828125,1559.48,-161.07655761718752
tango_min,4,300,45,s45_n300,678.513916015625,561.162,117.35191601562497
tango_min,4,400,45,s45_n400,816.7713012695312,828.752,-11.980698730468703
tango_min,4,500,45,s45_n500,1030.4346923828125,749.195,281.23969238281245
tango_min,4,300,46,s46_n300,756.0416870117188,473.314,282.72768701171873
tango_min,4,400,46,s46_n400,1429.565185546875,1836.27,-406.704814453125
tango_min,4,500,46,s46_n500,918.1639404296875,559.733,358.43094042968755
tango_min,4,300,47,s47_n300,597.416015625,536.032,61.38401562499996
tango_min,4,400,47,s47_n400,528.1661987304688,481.679,46.487198730468776
