cell,direction,w,codesign_rate,codesign_anchor,d_codesign_pp,designable_rate,designable_anchor,d_designable_pp,diversity_tm,diversity_anchor,d_diversity_tm,aa_kl_vs_w1,aa_max_freq,aa_shannon_delta,aa_homopoly_delta,aa_lowcplx_delta,prop_target,prop_value,prop_anchor,prop_delta,prop_delta_sigma,v_codesign,v_designable,v_diversity,v_aa_kl,v_max_aa,v_seq_quality,v_property,overall
iupred_max_w16,iupred_max,16,0.4166666666666667,0.43333333333333335,-1.6666666666666663,,,,0.4073602970206303,,,0.0,0.1163020833333333,0.0,0.0,0.0,iupred3_fraction_disordered,0.22539236111111113,0.1581191196250627,0.06727324148604844,,PASS,MISSING,MISSING,PASS,PASS,PASS,MISSING,INERT
iupred_max_w32,iupred_max,32,0.375,0.43333333333333335,-5.833333333333335,,,,0.40731579347559327,,,0.0020784649773543,0.1219270833333333,0.0,0.0,0.0,iupred3_fraction_disordered,0.3301111111111111,0.1581191196250627,0.17199199148604838,,PASS,MISSING,MISSING,PASS,PASS,PASS,MISSING,INERT
iupred_max_w64,iupred_max,64,0.10416666666666667,0.43333333333333335,-32.916666666666664,,,,0.4072430527314907,,,0.0850137599488675,0.1479166666666666,0.0,0.0,0.0,iupred3_fraction_disordered,0.9098993055555556,0.1581191196250627,0.7517801859304929,,FAIL,MISSING,MISSING,WARN,PASS,PASS,MISSING,BROKEN
iupred_max_w128,iupred_max,128,0.0,0.43333333333333335,-43.333333333333336,,,,0.40761304957025163,,,0.5016778806687476,0.1853645833333333,0.0,0.0,0.0,iupred3_fraction_disordered,1.0,0.1581191196250627,0.8418808803749374,,FAIL,MISSING,MISSING,FAIL,PASS,PASS,MISSING,BROKEN
