protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7805483333333334,625.631,684,10.038380537936867,10.167647361755368,0.29953518904419707,0.14666666666666667,3.865718926984116,2553.020815104298,6,10.056644729860212,46.420512015874976,-24.77104032499267,18.07183837890625
s42_n400,400,0.8040054999999999,1090.94,885,17.693636868747227,9.377136039733887,0.2599911067663121,0.01,3.6078549198602805,2524.5958992184587,7,7.41373961411804,79.15671401459903,-37.90685281368766,20.913969039916992
s42_n500,500,0.7985324,1052.02,770,53.695227000715434,9.989908027648926,0.26962076039459054,0.042,3.5897266814779956,2906.304162013121,7,9.57380170629267,120.21955019975731,-19.88378735559047,22.060749053955078
s43_n300,300,0.7755110000000001,641.753,795,17.680680578352558,11.251103019714353,0.2535671620311543,0.0,3.8712814801675943,2901.287282149694,11,11.521310123018154,44.77676084883744,-15.931757576170888,17.682621002197266
s43_n400,400,0.8052330000000001,1161.66,2171,51.51136454835373,10.03342418670654,0.14844160793238215,0.0,3.4363990563495466,2313.488612962428,7,5.798209869077548,118.36964557338226,-21.66326852010843,23.220979690551758
s43_n500,500,0.7856237999999999,602.367,607,18.93059323086797,11.26470584869385,0.3796817587178856,0.154,3.664783676880602,1601.928313939,1,9.545249439661541,79.47986566760096,-44.51637459409186,21.867631912231445
s44_n300,300,0.7791523333333333,805.317,2533,55.44483000972492,10.77977466583252,0.09914920000984459,0.0,2.9203347776184088,1913.618501692652,2,4.150791505035395,78.91391780332187,-0.6247518555977828,18.391498565673828
s44_n400,400,0.76868375,1441.86,2289,-7.22536273960124,4.355594825744629,0.4019913134942922,0.18,3.4299678428256763,2294.2262312374783,5,9.245675298618643,3.710391266714515,-3.9406872148934844,19.458454132080078
s44_n500,500,0.806532,1567.22,117,28.77442820108145,9.543142127990723,0.29659653368196964,0.036,3.6611452006505476,1838.364579570422,2,5.231889712182052,104.34121953380435,-33.27394753587913,23.69094467163086
s45_n300,300,0.7779886666666667,686.128,535,20.005348540295756,11.213775825500488,0.16670419639112039,0.0,3.729113359428829,1467.7089824384925,5,5.3820515740234125,69.07828215378689,-31.953531025268642,17.294979095458984
s45_n400,400,0.7920560000000001,859.993,268,15.246327074520835,11.26515712738037,0.6051945591884729,0.7,3.7199599163020536,1254.907020866998,3,4.843478134366031,77.0183399419996,-40.159181259610335,19.213945388793945
s45_n500,500,0.8032085999999999,763.401,918,-0.45417995061306726,6.91937427520752,0.3650246861417717,0.152,3.847761928819057,3107.776276900732,5,9.22168179582703,86.02276358979027,-62.94254809813433,24.02395248413086
s46_n300,300,0.7870383333333333,518.017,1898,-8.095910261126946,5.182943153381346,0.25646205110056336,0.02666666666666667,3.624976868821994,2764.0110581718877,10,11.810387441652681,29.63908580941453,-37.69836899119077,17.886205673217773
s46_n400,400,0.7651405,1830.18,1278,2.493904159789711,8.823417091369631,0.23645394024222155,0.0,3.511710215282247,5174.14348491138,22,14.71081611312706,20.551762353617033,-6.503978018005982,19.849620819091797
s46_n500,500,0.7992769999999999,566.249,41,12.005081720312312,9.581565284729002,0.5304321851370082,0.502,3.5205626560519296,1464.051564500782,7,4.122234513067743,54.79576158767029,-36.18417996757937,23.82652473449707
s47_n300,300,0.7844336666666667,548.231,2668,19.82791686510954,11.713405799865722,0.31008094549279397,0.06333333333333334,3.388824455894533,1951.1519256103227,6,7.419390579816295,61.15014382651691,-16.04571533553854,17.27490234375
s47_n400,400,0.7737552500000001,557.739,37,78.4852589438007,11.999967765808105,0.4236587655904641,0.1775,3.4528981150437845,867.5221307236061,2,2.7109386944967486,169.86467944529545,-25.65361479577394,20.708581924438477
s47_n500,500,0.7857564000000001,1234.81,633,12.444397868121754,9.94490909576416,0.2760719665391543,0.034,2.195202802163962,1129.1837461566654,2,1.6627644073319183,26.052713140465734,-2.188615765312564,23.330211639404297
s48_n300,300,0.7881413333333334,496.399,2120,38.03776507134478,10.335780906677243,0.17726457245294644,0.0,3.825701975028253,2020.630759292513,5,5.995848581552811,88.38855526271362,-18.541928741724504,18.057994842529297
s48_n400,400,0.8065822500000001,1003.35,1438,20.895472150947718,9.544044685363769,0.24072324171482967,0.0025,3.730107348681473,2221.718914549895,6,6.299447744360846,92.13867743888619,-41.12808400147326,20.527124404907227
s48_n500,500,0.7883032000000001,1429.63,4265,108.54600613155213,10.672176933288572,0.20204036264363273,0.006,3.5007754161422606,2893.9866257643885,6,11.002144143057077,187.43798354603882,-3.0690515169508257,21.5097713470459
s49_n300,300,0.7672260000000001,904.761,2249,12.014395787635745,10.523770713806151,0.3207674439376271,0.023333333333333334,3.501615689686024,2344.3102311136718,10,9.124080845334756,14.31779892601362,-2.9127526322263524,17.384798049926758
s49_n400,400,0.77860225,711.344,685,7.772064587329645,9.427679252624515,0.26246853454898345,0.05,3.9921886436132428,4744.26448305514,14,15.907867570972513,56.67993700631436,-25.87705638663456,20.294645309448242
s49_n500,500,0.7879464,1160.32,3052,121.64018717916107,10.691130638122559,0.07941774696376844,0.0,2.9690222229497256,1543.8544095826494,2,2.77232066769569,191.91291718232344,-5.112724217390303,23.257099151611328
s50_n300,300,0.778233,576.696,762,4.914636674972741,8.915220069885255,0.2466040031614096,0.03333333333333333,3.998954502600025,2815.181872497647,10,10.455398015390644,41.03228751315803,-20.427867905759836,17.90758514404297
s50_n400,400,0.791323,970.649,393,-8.596681149740135,6.080771827697753,0.4267597531305097,0.2525,3.9285084220127535,2555.8529868265896,7,8.501234258727468,34.46679390999527,-52.70905279328194,20.797895431518555
s50_n500,500,0.7824628,1028.12,7262,-0.20412541214591307,5.57001667022705,0.13965514576627924,0.0,2.225393749856281,9941.000922958387,25,66.64983645381824,0.0,0.0,20.619014739990234
s51_n300,300,0.7812050000000001,547.65,1484,24.730059769155634,11.880894660949707,0.31405683644087995,0.03666666666666667,3.466899127773612,2056.5675354431187,6,7.179003562259099,71.34169886737526,-14.847891229751387,17.425588607788086
s51_n400,400,0.7819640000000001,843.324,3025,99.37798595559603,10.48876438140869,0.08909383514905027,0.0225,3.3039958525819517,2232.4254858030695,4,5.0123214120684345,167.73271189848313,-6.07131571349695,21.16977310180664
s51_n500,500,0.7779441999999999,1632.27,76,24.540561829191766,10.078358650207516,0.4421182758762967,0.27,3.6112394736852393,2309.1517170869397,6,9.611089462939564,28.48298002029501,-2.518065468741276,22.845657348632812
s52_n300,300,0.777413,617.977,1756,19.802503960865106,11.646616554260255,0.19800558029428364,0.0,3.591975725431968,2703.8587951350078,7,10.11625199484503,59.12918875867115,-20.903920599907877,17.588193893432617
s52_n400,400,0.7956847499999999,1030.02,1485,5.988782104937165,8.853717231750487,0.19285216022069868,0.0,3.940555947371361,2979.8943995715063,9,7.324688626165236,69.36661568223795,-48.246386794751075,20.681241989135742
s52_n500,500,0.780817,909.678,1,30.187484913794457,9.110430335998537,0.14485050270933977,0.024,3.5042941513236086,1486.4954202641923,1,2.083725877194787,112.18140787021223,-40.80210895587629,23.228464126586914
s53_n300,300,0.7922476666666667,524.391,1040,-8.07702250104498,5.160548591613768,0.446305614733119,0.31333333333333335,3.5172325220794503,2244.2204952000984,9,6.98802409911073,37.27492664012579,-44.32809370780146,17.126920700073242
s53_n400,400,0.7951595,964.821,384,152.34213120889248,11.02462558746338,0.1717544307201036,0.0325,3.04294096277187,1244.6821843935081,1,1.4154565182890944,224.95263075760883,-0.084857522172491,20.569690704345703
s53_n500,500,0.7931653999999999,1266.23,1845,24.479740263507,10.42429599761963,0.4384720979716018,0.25,3.142784006648015,1607.049281429908,2,4.837780746542375,43.86870090381056,-2.840646981341706,24.51070213317871
s54_n300,300,0.7686986666666666,1235.06,2765,46.79833742438942,10.264349937438961,0.025510946987025516,0.0,3.2821969722601025,2616.3757434951253,6,8.548730702307246,79.62654346140806,-4.241595752909189,18.227691650390625
s54_n400,400,0.77060225,1078.89,1280,36.236728715899524,11.605227851867678,0.2148998649521522,0.0,3.8419916259766462,1931.4283960051528,5,6.632565798694362,108.5386409495757,-31.26528576116317,21.550518035888672
s54_n500,500,0.789743,1626.28,202,-1.5302818036549988,4.207017707824707,0.4931066496592934,0.438,2.6683696817722224,2221.5916615594833,5,5.6966677129829675,0.7771322070587863,-2.295882348393818,22.091716766357422
s55_n300,300,0.7836420000000001,534.696,2200,10.983893985412053,11.40079860687256,0.3207958451499912,0.13,3.6719246179337475,2691.269581350587,5,10.064094318969552,41.16040875652527,-22.500859535928416,18.140277862548828
s55_n400,400,0.7833,974.185,1574,25.868036033775027,9.758788871765137,0.15172911065010963,0.0,3.98920845963575,4076.2584457727635,11,14.29435570817066,72.12243374804986,-29.061507214594663,21.20892333984375
s55_n500,500,0.8015140000000001,1318.09,2141,10.833500360211183,9.169676780700684,0.24406330176678623,0.08,3.6901072442038245,2245.447875982579,6,6.43977663993242,89.52073306900672,-50.36810575555133,21.780014038085938
s56_n300,300,0.8051193333333334,720.805,1161,62.565936291533895,10.188728523254394,0.12352812155154096,0.0,3.2215358299858963,1693.9154179904938,4,1.6259875242832647,118.1590188887474,-11.204044628585653,19.11385726928711
s56_n400,400,0.76290925,525.212,2403,12.578723734002928,9.435028648376463,0.19862277370501452,0.03,3.364189242155064,2372.2746496774525,4,10.428689733928751,43.43097432675067,-12.177149131625573,23.750391006469727
s56_n500,500,0.7963762000000001,978.794,410,16.68466512598974,9.486281013488771,0.38611786667588344,0.16,3.4823563101157324,1520.342609105977,2,3.7484129653540075,100.79717023726181,-65.63120720941957,23.60528564453125
s57_n300,300,0.7957519999999999,658.252,1060,119.6953275661036,10.960415077209472,0.18714007096777185,0.0,3.0447786886797172,786.5429968591948,0,0.8857146596003157,178.6765337577766,-0.37221154902510517,18.12965965270996
s57_n400,400,0.77695575,791.243,1,19.519019002226443,10.516550254821777,0.40840402571935835,0.19,3.809296205368066,2202.4920759136708,9,6.618174201466582,58.331904939446574,-13.918200993596654,19.131195068359375
s57_n500,500,0.7918217999999999,1362.04,48,114.38603975137816,10.683458900451662,0.2267287735274581,0.012,2.8265218739844857,1696.2693847895891,1,2.1913016580891167,194.43038595143514,-0.38255642766769943,21.92884635925293
