wandb_id,slurm_id,name,state,created_at,duration_s,max_global_step,final_val_loss_epoch,final_train_loss_epoch
txlwbhao,28126469,test_ca_only_diffusion,crashed,2026-04-21T13:33:37Z,,,,
oz20mwk3,28149253,test_ca_only_diffusion,crashed,2026-04-21T21:01:13Z,14009.076986071,402.0,6.342310905456543,1.8880807161331177
emsldaeq,28197198,test_ca_only_diffusion,crashed,2026-04-22T07:58:44Z,13507.8634179,920.0,5.738504409790039,1.5869879722595217
d1k1587u,28231457,test_ca_only_diffusion,crashed,2026-04-22T13:38:17Z,28532.341807641,1974.0,4.787416934967041,1.4284037351608276
ncosp2v7,28260296,test_ca_only_diffusion,crashed,2026-04-22T21:37:42Z,645.538592933,1514.0,5.113823890686035,1.4669228792190552
jeponiu5,28262493,test_ca_only_diffusion,crashed,2026-04-22T21:58:27Z,14235.554483013,2507.0,5.413389682769775,1.381975769996643
