bin,pdb_n,generated_n
"[300,350)",21055,35
"[350,400)",12320,31
"[400,450)",8182,12
"[450,500)",5967,9
"[500,550)",3151,8
"[550,600)",2259,2
"[600,650)",1215,1
"[650,700)",868,1
"[700,750)",800,0
"[750,800)",191,1
