global_step,train/loss_step,_runtime,wandb_id
0,6.139537811279297,167.886856844,oz20mwk3
1,6.4886016845703125,192.915511606,oz20mwk3
2,8.760322570800781,218.160842656,oz20mwk3
3,11.710412979125977,275.179072625,oz20mwk3
4,12.44775676727295,300.889477997,oz20mwk3
5,6.603768825531006,325.913299763,oz20mwk3
6,6.161681652069092,384.748641582,oz20mwk3
7,7.063449859619141,409.313397373,oz20mwk3
8,5.330498695373535,434.566911013,oz20mwk3
9,5.66943359375,507.414828402,oz20mwk3
10,5.3553900718688965,531.984278208,oz20mwk3
11,6.519222259521484,555.641996524,oz20mwk3
12,5.851702690124512,613.242518561,oz20mwk3
13,5.8237624168396,639.869374811,oz20mwk3
14,5.447955131530762,664.217081327,oz20mwk3
15,5.273575305938721,724.448675553,oz20mwk3
16,5.160137176513672,750.610721273,oz20mwk3
17,5.368639945983887,774.721538258,oz20mwk3
18,4.456201553344727,831.482097264,oz20mwk3
19,4.962789058685303,855.594506546,oz20mwk3
20,5.714255332946777,881.060621107,oz20mwk3
21,5.029008865356445,929.186210421,oz20mwk3
22,5.1020026206970215,955.340634366,oz20mwk3
23,5.306465148925781,980.584727005,oz20mwk3
24,5.494380950927734,1006.61880366,oz20mwk3
25,5.380107879638672,1054.314870037,oz20mwk3
26,5.872918605804443,1079.108800637,oz20mwk3
27,5.389789581298828,1103.778209622,oz20mwk3
28,4.974053382873535,1160.708110381,oz20mwk3
29,5.362116813659668,1185.507414182,oz20mwk3
30,4.38704252243042,1210.854967656,oz20mwk3
31,5.002612113952637,1271.112515637,oz20mwk3
32,6.643352508544922,1296.36921111,oz20mwk3
33,4.641613006591797,1321.259246376,oz20mwk3
34,4.040276527404785,1379.024188393,oz20mwk3
35,4.180490493774414,1404.497550622,oz20mwk3
36,4.111170768737793,1429.846577433,oz20mwk3
37,5.3222761154174805,1476.847324972,oz20mwk3
38,4.6143388748168945,1502.54988767,oz20mwk3
39,4.182923793792725,1528.573137818,oz20mwk3
40,5.220258712768555,1587.715469099,oz20mwk3
41,4.440558910369873,1613.184763553,oz20mwk3
42,4.199851036071777,1637.61721348,oz20mwk3
43,3.56990122795105,1686.198542545,oz20mwk3
44,4.90104866027832,1712.58488244,oz20mwk3
45,4.078418254852295,1738.845277749,oz20mwk3
46,4.146779537200928,1788.26121165,oz20mwk3
47,4.315934181213379,1812.82327397,oz20mwk3
48,3.955495595932007,1837.931426813,oz20mwk3
49,4.883559703826904,1862.724447984,oz20mwk3
50,3.9909167289733887,1909.503950839,oz20mwk3
51,4.013088703155518,1934.853341764,oz20mwk3
52,4.029579162597656,1959.881569316,oz20mwk3
53,3.2463555335998535,2018.32840334,oz20mwk3
54,3.5237016677856445,2044.582746855,oz20mwk3
55,3.8782711029052734,2070.058886959,oz20mwk3
56,2.8878915309906006,2128.852173282,oz20mwk3
57,3.3740692138671875,2155.789351589,oz20mwk3
58,2.9682834148406982,2181.492968609,oz20mwk3
59,3.307997703552246,2238.062823918,oz20mwk3
60,3.3002371788024902,2263.173243876,oz20mwk3
61,3.210613250732422,2288.187654562,oz20mwk3
62,2.947439193725586,2355.081531056,oz20mwk3
63,2.894516944885254,2379.962828054,oz20mwk3
64,2.932039737701416,2405.668096445,oz20mwk3
65,3.1342570781707764,2463.641133499,oz20mwk3
66,2.48762845993042,2489.201707765,oz20mwk3
67,3.0955262184143066,2513.756553121,oz20mwk3
68,2.696746826171875,2571.556542503,oz20mwk3
69,2.7492027282714844,2597.573277642,oz20mwk3
70,3.0455074310302734,2621.678826904,oz20mwk3
71,2.1471011638641357,2669.2297984,oz20mwk3
72,2.663498878479004,2693.891199355,oz20mwk3
73,2.4940829277038574,2719.372385013,oz20mwk3
74,3.6222949028015137,2743.714124535,oz20mwk3
75,2.8748412132263184,2791.563758524,oz20mwk3
76,2.9446284770965576,2817.262037002,oz20mwk3
77,2.610340118408203,2842.510358253,oz20mwk3
78,2.3332643508911133,2889.395950668,oz20mwk3
79,2.397038698196411,2914.408360908,oz20mwk3
80,2.8801162242889404,2939.883669404,oz20mwk3
81,2.1899867057800293,3001.531941216,oz20mwk3
82,2.4994864463806152,3026.779397757,oz20mwk3
83,3.5467965602874756,3052.72516097,oz20mwk3
84,2.665792226791382,3100.743600095,oz20mwk3
85,2.357362985610962,3126.445902224,oz20mwk3
86,2.940312147140503,3151.482789873,oz20mwk3
87,2.3730297088623047,3209.192862751,oz20mwk3
88,2.2962160110473633,3235.348767169,oz20mwk3
89,2.2331252098083496,3261.073522216,oz20mwk3
90,3.1022372245788574,3307.93195881,oz20mwk3
91,2.260016918182373,3334.090437127,oz20mwk3
92,2.2556259632110596,3358.668051304,oz20mwk3
93,2.1722543239593506,3406.89166171,oz20mwk3
94,2.5719499588012695,3432.362896622,oz20mwk3
95,2.3801920413970947,3456.71573801,oz20mwk3
96,1.8781392574310303,3502.684026889,oz20mwk3
97,2.3344554901123047,3527.696531588,oz20mwk3
98,2.1587939262390137,3552.716311919,oz20mwk3
99,2.0665364265441895,3579.830739631,oz20mwk3
100,1.9648374319076538,3606.71186518,oz20mwk3
101,2.6068334579467773,3632.808531858,oz20mwk3
102,1.9770824909210205,3658.043496734,oz20mwk3
103,2.623664617538452,3716.677797917,oz20mwk3
104,1.9968922138214111,3742.712618617,oz20mwk3
105,2.280529737472534,3767.493071437,oz20mwk3
106,2.1985621452331543,3792.047276128,oz20mwk3
107,2.08237361907959,3851.87630075,oz20mwk3
108,1.5522226095199585,3877.347684955,oz20mwk3
109,2.2656044960021973,3902.130292985,oz20mwk3
110,2.4152002334594727,3949.236964856,oz20mwk3
111,2.10272216796875,3974.703078317,oz20mwk3
112,2.2973859310150146,3999.94697068,oz20mwk3
113,2.357490301132202,4048.592243593,oz20mwk3
114,2.112161636352539,4073.603935329,oz20mwk3
115,2.1329355239868164,4099.082516672,oz20mwk3
116,1.9363493919372559,4160.909946053,oz20mwk3
117,1.9716050624847412,4185.93455347,oz20mwk3
118,2.0686824321746826,4212.318793649,oz20mwk3
119,2.319044589996338,4272.509956782,oz20mwk3
120,2.0639634132385254,4297.074624555,oz20mwk3
121,1.797513723373413,4322.553129557,oz20mwk3
122,1.6495349407196045,4378.859437238,oz20mwk3
123,2.077028274536133,4404.566118886,oz20mwk3
124,2.1338858604431152,4427.990490161,oz20mwk3
125,2.535390853881836,4490.253682308,oz20mwk3
126,2.057093620300293,4514.375603344,oz20mwk3
127,1.7451879978179932,4538.93726523,oz20mwk3
128,2.5046424865722656,4601.742716425,oz20mwk3
129,2.137498617172241,4627.443058495,oz20mwk3
130,2.042538642883301,4653.142745055,oz20mwk3
131,2.2358388900756836,4678.039891806,oz20mwk3
132,2.003037452697754,4734.259733467,oz20mwk3
133,2.221867561340332,4760.409910251,oz20mwk3
134,2.4812211990356445,4786.672219323,oz20mwk3
135,2.2604482173919678,4835.289921903,oz20mwk3
136,2.1396777629852295,4860.766845093,oz20mwk3
137,2.5709991455078125,4886.795823997,oz20mwk3
138,2.088336706161499,4945.57020911,oz20mwk3
139,2.2122182846069336,4970.822901448,oz20mwk3
140,1.9120844602584839,4995.722053391,oz20mwk3
141,1.7872848510742188,5042.518582134,oz20mwk3
142,1.9354286193847656,5068.899404052,oz20mwk3
143,2.21881103515625,5094.021987114,oz20mwk3
144,2.1385648250579834,5142.395982148,oz20mwk3
145,1.8948900699615479,5168.781252117,oz20mwk3
146,1.8442494869232178,5194.126919932,oz20mwk3
147,1.57370126247406,5242.247107899,oz20mwk3
148,2.3712470531463623,5267.957311138,oz20mwk3
149,1.986285924911499,5292.860162609,oz20mwk3
150,1.8575137853622437,5339.430332324,oz20mwk3
151,2.033092975616455,5364.44628,oz20mwk3
152,2.359027862548828,5390.034454061,oz20mwk3
153,2.0908875465393066,5446.20905751,oz20mwk3
154,2.5035958290100098,5471.459568633,oz20mwk3
155,1.7853517532348633,5495.908492853,oz20mwk3
