bin,n,m_eff_spearman
"[300,350)",21055,9.999999999999991
"[350,400)",12320,8.999999999999998
"[400,450)",8182,9.999999999999998
"[450,500)",5967,10.0
"[500,550)",3151,9.999999999999998
"[550,600)",2259,9.0
"[600,650)",1215,10.000000000000002
"[650,700)",868,9.0
"[700,750)",800,7.999999999999998
"[750,800)",191,10.000000000000005
