property,ref_n,gen_n,ref_mean,gen_mean,ref_sd,gen_sd,ref_var,gen_var,ref_median,gen_median,ref_iqr,gen_iqr,ref_skew,gen_skew,ref_kurt,gen_kurt,ref_min,gen_min,ref_max,gen_max,ref_modes,gen_modes,mean_diff,mean_diff_sd,ks_d,ks_p,wasserstein
sequence_length,56008,1000,404.5487966004857,549.501,97.11680549376075,143.89775037005117,9431.673909312958,20706.56256156156,376.0,550.0,123.0,249.25,1.3391123668887086,0.00279021472010797,1.5121727238065183,-1.1997918877815275,300.0,300.0,796.0,799.0,1,2,144.9522033995143,1.4771627806961583,0.45656320525639194,1.2435028755373756e-187,144.95220339951436
swi,56008,1000,0.7787062779889279,0.7951199593000984,0.0101049924716675,0.019099871176651628,0.00010211087285245687,0.00036480507896468765,0.7792604286953908,0.7965396565238272,0.00979999708380297,0.020003415175551154,-27.144865011289372,-0.011525858387487684,1941.7205372978558,1.5589988030665474,0.0488790560471976,0.7151372050816698,0.8172912280701756,0.8816365280289331,2,1,0.01641368131117049,1.58889201297616,0.6079940008570204,0.0,0.017314647988017566
tango,56008,1000,999.4216587987431,1106.290643,281.57462343479506,534.0507874277919,79284.26856244664,285210.24355224456,956.435,1042.4,337.18349999999987,609.8059999999998,1.1890211669989896,1.354505360021259,2.1947560871022977,4.343511975839836,317.695,35.473,2850.5,4385.13,1,1,106.86898420125692,0.37118696805241597,0.1771874017997429,1.934403242065667e-27,194.27270754592206
tango_aggregation_positions,56008,1000,1617.5457077560347,1560.955,1173.955757046537,1887.7870274042662,1378172.1195027076,3563739.860835836,1508.0,1148.5,1070.0,1767.5,5.195296305292007,4.637048434362794,49.63459399343125,48.12388060685592,16.0,0.0,19962.0,28911.0,1,1,-56.59070775603482,-0.04754895418724572,0.23563233823739463,1.9147805903485334e-48,546.3770105699186
net_charge,56008,1000,-7.0315149582818615,-32.65720019241347,8.60513004964948,59.637192426949845,74.04826317138046,3556.594720569044,-6.3803615330912535,-18.69881944590128,10.43090975432332,39.929965531218066,-0.5966448661949524,-1.6402205303888606,3.4175833207763118,7.612167967484455,-84.8456086409185,-336.7355230230887,55.54559729701215,331.0918303375597,1,1,-25.62568523413161,-2.204870563425463,0.42503356663333813,1.778993963911197e-161,32.529325271291746
pI,56008,1000,6.131709482560513,5.63626594467163,1.2051385495813287,1.8202884808526223,1.452358923686989,3.313450153524747,5.851653861999511,5.010721015930175,1.2183295249938961,1.3807469367980953,1.0541377859862948,1.5882227101473394,0.4927073555085859,1.5659491117484379,4.0500284194946286,4.0500284194946286,11.3716588973999,11.999967765808105,2,2,-0.4954435378888835,-0.4065695108405967,0.39734280817026146,2.3722693141176383e-140,0.8002117437804297
iupred3,56008,1000,0.21580591912225125,0.32111695999246265,0.06780871083954301,0.16527585144422194,0.004598021265720758,0.027316107070612515,0.2135603902376788,0.3074419436560335,0.09702863759786332,0.21956635327468005,0.2755263014466546,0.852813871045548,0.17656557377441162,1.0322370293917436,0.005443971654625,0.0029749416122961,0.5462681896976518,0.9882805865086164,2,1,0.1053110408702114,1.4898976821275842,0.4116733323810884,4.501467867592144e-151,0.10893875220125922
iupred3_fraction_disordered,56008,1000,0.03366271093906052,0.17515916574071883,0.04979526991191063,0.25691032396353314,0.002479568905600032,0.06600291455904754,0.0163043478260869,0.0570776810033152,0.0459518599562363,0.22061219832339674,2.995000137855585,1.8287646848229198,14.257554882904572,2.449547725822023,0.0,0.0,0.6963855421686747,1.0,1,1,0.1414964548016583,2.3606419970127095,0.3295659191544066,1.606180623586385e-95,0.14149645480165834
shannon_entropy,56008,1000,4.096066028841176,3.465188419019723,0.09570190024542623,0.4088554860135018,0.009158853710585514,0.16716280844333675,4.1150310809632495,3.54479348671134,0.11298336164459855,0.3893804583138043,-1.4010305301930652,-1.6225050271628498,3.108484492522268,3.4301695960027674,3.274348816422746,1.6899551521053904,4.266875063064066,4.148044293177055,2,1,-0.6308776098214532,-5.77650471509381,0.8862393943722326,0.0,0.6308776098214532
hydrophobic_patch_total_area,56008,1000,3964.174505450566,2745.7214498660283,1325.965060032156,2120.3620707083032,1758183.3404260792,4495935.310898404,3677.7580459084834,2211.3708511901555,1384.429925536614,1384.6688265363491,2.2355921206155283,3.4051072954031585,10.726956113174518,14.634750708066896,748.3830870916178,405.2957300897463,19022.608562687063,17491.818301569652,1,1,-1218.4530555845377,-0.9066310148137998,0.5609490072846736,8.864840368179555e-292,1463.043858073739
