protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s2000_n323,323,0.7914065015479876,757.613,585,-8.129942127890843,5.300997734069824,0.2708072216736619,0.0,3.953766546871862,2913.931410408167,8,8.265706058755953,38.715299210471116,-38.12792486303906,18.421709060668945
s2001_n457,457,0.7895689277899343,746.087,647,-31.93477161586609,4.520427894592285,0.5046483811105432,0.4179431072210066,3.855457084421294,2075.363570123558,4,8.277352905708792,45.54529596336301,-73.4260845549405,21.678245544433594
s2002_n520,520,0.7887011538461538,1025.81,2922,-26.275031165565025,5.108995628356933,0.11321931218195516,0.0,3.863268432764758,1728.2702342956834,2,5.196328304338559,54.2723276725564,-88.17377835954196,21.810928344726562
s2003_n665,665,0.7833727819548872,911.399,639,-20.00517459126695,4.654283714294434,0.28732537138638153,0.045112781954887216,3.745995832250935,3752.477443997302,2,10.214669845230596,38.61986778526166,-58.26842107312146,24.263385772705078
s2004_n717,717,0.7742935843793585,962.41,1375,-31.119289000583386,4.403396415710449,0.4327306298366123,0.06276150627615062,3.308951620366844,2293.3190396063833,4,8.78263173192787,31.376237186788043,-73.84431099005326,29.003936767578125
s2005_n302,302,0.79335,455.56,429,-18.614890731386797,4.911252784729004,0.44245375111528296,0.2781456953642384,3.8208040820098215,1914.896949193559,4,7.713729845163398,21.57356011454609,-45.40697740174251,17.730907440185547
s2006_n446,446,0.8065860986547084,1004.32,1165,-12.491020932275603,5.540005683898924,0.3398852380797286,0.020179372197309416,3.3106778466378057,2045.4700181562116,2,4.2355155286326776,81.2120767578849,-79.01009467222602,21.40422248840332
s2007_n550,550,0.7914023636363636,1374.7,2064,-15.639631208887721,5.381538581848145,0.12169380876193996,0.0,3.8430617462262067,2437.844755968619,3,7.819839425673927,63.88288797473033,-79.91860808544587,22.599706649780273
s2008_n645,645,0.8106441860465118,659.526,0,-23.615629864412984,4.0500284194946286,0.7989691308792655,0.9829457364341085,2.6742742918438527,2586.77573589449,9,10.73681554081902,0.0,-48.270223241843816,24.24602699279785
s2009_n764,764,0.8277547120418849,639.922,1337,-201.9761829010609,4.0500284194946286,0.597001419773503,0.6910994764397905,3.158612462004527,1789.871037946108,1,5.837529458748096,15.246482538450243,-327.8416042002269,25.51329231262207
s2010_n354,354,0.7808127118644067,636.207,773,-14.81242542343276,5.0089021682739245,0.2919399784524273,0.05367231638418079,4.063516233576976,3131.23840757722,10,11.814092973908252,24.98033623659029,-41.588698027710066,18.725908279418945
s2011_n426,426,0.8069511737089202,1294.75,946,-36.016875122763686,4.578403663635254,0.24367072282419572,0.0,3.82499609136007,3041.1920109565185,12,8.077409763686843,38.46589667385167,-82.64638315927591,22.198734283447266
s2012_n546,546,0.7986104395604395,991.318,452,-36.60150026313353,4.7052114486694325,0.5328096140472534,0.6043956043956044,3.7723935425984636,2861.849107878049,8,8.327129695710859,55.768825453820284,-100.11659429536137,24.71949005126953
s2013_n696,696,0.7942856321839081,1565.77,2863,-1.3959870029826646,6.472278785705566,0.09027933538123742,0.0,3.4826425000897934,2564.0011036747337,4,6.422978795535323,114.46939679216345,-93.77343836521331,25.63424301147461
s2014_n790,790,0.7640208860759494,1560.42,2226,-3.6345359719124772,6.686163902282716,0.2355198962312569,0.030379746835443037,3.3677246720953433,1947.8223443193247,2,10.483276920507539,17.98736086372762,-8.50174681632844,26.54075813293457
s2015_n341,341,0.7770727272727271,660.967,374,-12.832921741592799,5.115247917175293,0.23611032783382419,0.0,4.140299361470726,2987.8975141375113,9,10.371948877855269,33.301568070369335,-41.14575228321148,18.56163215637207
s2016_n417,417,0.7879681055155875,885.316,2257,-12.897801815790054,5.140654945373535,0.29104896941137903,0.06474820143884892,4.030536072788817,4760.849839659171,17,16.55664872451502,43.21076763029419,-52.6492995908521,21.740955352783203
s2017_n553,553,0.790963471971067,870.665,34,6.451936399647096,8.461427116394042,0.24656975929326605,0.009041591320072333,3.6292428580221343,2080.3866085841178,5,4.359468783699329,112.44148308051797,-77.83308079405126,24.771873474121094
s2018_n699,699,0.7910494992846925,1816.15,3445,9.239104711147945,10.903102684020993,0.4584406630658229,0.36194563662374823,3.4081814557469015,3838.9714412496487,8,16.409788781473218,89.25130737147951,-62.64859253792023,24.093461990356445
s2019_n706,706,0.7859388101983003,1808.18,2435,-18.198032040210023,4.9966249465942365,0.09169386251754603,0.0,3.846384983429219,4565.5753695357735,14,18.11933399076047,53.7692569947013,-89.32657562810307,25.391477584838867
