arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,2.1255738735198975,2.1255738735198975,14.627500772476196
baseline,50,1,5.408060073852539,5.408060073852539,10.292124509811401
baseline,50,2,1.0779188871383667,1.0779188871383667,12.07610821723938
baseline,100,0,2.9256207942962646,2.9256207942962646,20.330432653427124
baseline,100,1,8.81112289428711,8.81112289428711,20.584885597229004
baseline,100,2,7.249813556671143,7.249813556671143,20.405030012130737
baseline,200,0,13.89039134979248,13.89039134979248,57.23076105117798
baseline,200,1,14.440106391906738,14.440106391906738,60.66785287857056
baseline,200,2,12.914132118225098,12.914132118225098,58.142555713653564
hybrid,50,0,8.038581848144531,8.038581848144531,11.568230390548706
hybrid,50,1,2.1932108402252197,2.1932108402252197,13.137452125549316
hybrid,50,2,1.6410645246505737,1.6410645246505737,12.656415224075317
hybrid,100,0,9.624039649963379,9.624039649963379,20.021002292633057
hybrid,100,1,12.924603462219238,12.924603462219238,20.85650944709778
hybrid,100,2,5.820808410644531,5.820808410644531,21.278616189956665
hybrid,200,0,16.5826358795166,16.5826358795166,61.19814586639404
hybrid,200,1,16.500591278076172,16.500591278076172,59.79379343986511
hybrid,200,2,15.587276458740234,15.587276458740234,58.58281493186951
