arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,2.048123598098755,2.048123598098755,12.62593388557434
baseline,50,1,5.286133766174316,5.286133766174316,11.428224802017212
baseline,50,2,0.8786569833755493,0.8786569833755493,11.529647827148438
baseline,100,0,5.804685592651367,5.804685592651367,21.632342100143433
baseline,100,1,7.799927234649658,7.799927234649658,21.36336398124695
baseline,100,2,3.6948258876800537,3.6948258876800537,20.998345613479614
baseline,200,0,10.930395126342773,10.930395126342773,57.64159607887268
baseline,200,1,13.612428665161133,13.612428665161133,57.990020751953125
baseline,200,2,14.18960189819336,14.18960189819336,59.08032155036926
hybrid,50,0,7.125884056091309,7.125884056091309,10.97427248954773
hybrid,50,1,2.0508079528808594,2.0508079528808594,10.511511087417603
hybrid,50,2,1.578122854232788,1.578122854232788,10.65869688987732
hybrid,100,0,1.925416111946106,1.925416111946106,19.43760347366333
hybrid,100,1,7.153459072113037,7.153459072113037,20.505210638046265
hybrid,100,2,10.119285583496094,10.119285583496094,20.687245845794678
hybrid,200,0,17.027076721191406,17.027076721191406,57.30224633216858
hybrid,200,1,16.19623374938965,16.19623374938965,59.04885911941528
hybrid,200,2,16.41923713684082,16.41923713684082,60.50594615936279
